,Unnamed: 0,POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,TeamName,unique,imaged_url
0,0,1,Shubman Gill,17,17,2,890,129,59.33,564,157.8,3,4,85,33,2023,GT,shubmangill,https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png
1,1,2,Faf Du Plessis,14,14,1,730,84,56.15,475,153.68,0,8,60,36,2023,RCB,fafduplessis,https://scores.iplt20.com/ipl/playerimages/Faf%20Du%20Plessis.png
2,2,3,Devon Conway,16,15,2,672,92,51.69,481,139.7,0,6,77,18,2023,CSK,devonconway,https://scores.iplt20.com/ipl/playerimages/Devon%20Conway.png
3,3,4,Virat Kohli,14,14,2,639,101,53.25,457,139.82,2,6,65,16,2023,RCB,viratkohli,https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png
4,4,5,Yashasvi Jaiswal,14,14,1,625,124,48.08,382,163.61,1,5,82,26,2023,RR,yashasvijaiswal,https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png
5,5,6,Suryakumar Yadav,16,16,2,605,103,43.21,334,181.13,1,5,65,28,2023,MI,suryakumaryadav,https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png
6,6,7,Ruturaj Gaikwad,16,15,1,590,92,42.14,400,147.5,0,4,46,30,2023,CSK,ruturajgaikwad,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png
7,7,8,David Warner,14,14,0,516,86,36.86,392,131.63,0,6,69,10,2023,DC,davidwarner,https://scores.iplt20.com/ipl/playerimages/David%20Warner.png
8,8,9,Rinku Singh,14,14,6,474,67,59.25,317,149.52,0,4,31,29,2023,KKR,rinkusingh,https://scores.iplt20.com/ipl/playerimages/Rinku%20Singh.png
9,9,10,Ishan Kishan,15,15,0,454,75,30.27,318,142.76,0,3,54,18,2023,MI,ishankishan,https://scores.iplt20.com/ipl/playerimages/Ishan%20Kishan.png
10,10,11,Cameron Green,16,16,7,452,100,50.22,282,160.28,1,2,40,22,2023,MI,camerongreen,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png
11,11,12,Heinrich Klaasen,12,11,2,448,104,49.78,253,177.07,1,2,32,25,2023,SRH,heinrichklaasen,https://scores.iplt20.com/ipl/playerimages/Heinrich%20Klaasen.png
12,12,13,Shivam Dube,16,14,3,418,52,38.0,264,158.33,0,3,12,35,2023,CSK,shivamdube,https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png
13,13,14,Nitish Rana,14,14,1,413,75,31.77,293,140.95,0,3,39,20,2023,KKR,nitishrana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
14,14,15,Marcus Stoinis,15,15,2,408,89,31.38,272,150.0,0,3,28,27,2023,LSG,marcusstoinis,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
15,15,16,Venkatesh Iyer,14,14,0,404,104,28.86,277,145.84,1,2,32,21,2023,KKR,venkateshiyer,https://scores.iplt20.com/ipl/playerimages/Venkatesh%20Iyer.png
16,16,17,Glenn Maxwell,14,14,2,400,77,33.33,218,183.48,0,5,29,31,2023,RCB,glennmaxwell,https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png
17,17,18,Jos Buttler,14,14,0,392,95,28.0,282,139.0,0,4,42,14,2023,RR,josbuttler,https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png
18,18,19,Kyle Mayers,13,13,0,379,73,29.15,263,144.1,0,4,38,22,2023,LSG,kylemayers,https://scores.iplt20.com/ipl/playerimages/Kyle%20Mayers.png
19,19,20,Shikhar Dhawan,11,11,2,373,99,41.44,261,142.91,0,3,49,12,2023,PBKS,shikhardhawan,https://scores.iplt20.com/ipl/playerimages/Shikhar%20Dhawan.png
20,20,21,Wriddhiman Saha,17,17,1,371,81,23.19,287,129.26,0,2,47,8,2023,GT,wriddhimansaha,https://scores.iplt20.com/ipl/playerimages/Wriddhiman%20Saha.png
21,21,22,Sanju Samson,14,14,2,362,66,30.17,236,153.38,0,3,25,24,2023,RR,sanjusamson,https://scores.iplt20.com/ipl/playerimages/Sanju%20Samson.png
22,22,23,Sai Sudharsan,8,8,1,362,96,51.71,256,141.4,0,3,33,12,2023,GT,saisudharsan,https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png
23,23,24,Nicholas Pooran,15,15,3,358,62,29.83,207,172.94,0,2,26,26,2023,LSG,nicholaspooran,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png
24,24,25,Simran Singh,14,14,0,358,103,25.57,238,150.42,1,1,38,19,2023,PBKS,simransingh,https://scores.iplt20.com/ipl/playerimages/Simran%20Singh.png
25,25,26,Hardik Pandya,16,15,4,346,66,31.45,253,136.75,0,2,26,15,2023,GT,hardikpandya,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
26,26,27,Tilak Varma,11,11,3,343,84,42.88,209,164.11,0,1,26,23,2023,MI,tilakvarma,https://scores.iplt20.com/ipl/playerimages/Tilak%20Varma.png
27,27,28,Rohit Sharma,16,16,0,332,65,20.75,250,132.8,0,2,35,17,2023,MI,rohitsharma,https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png
28,28,29,Ajinkya Rahane,14,11,1,326,71,32.6,189,172.48,0,2,24,16,2023,CSK,ajinkyarahane,https://scores.iplt20.com/ipl/playerimages/Ajinkya%20Rahane.png
29,29,30,Jitesh Sharma,14,14,1,309,49,23.77,198,156.06,0,0,22,21,2023,PBKS,jiteshsharma,https://scores.iplt20.com/ipl/playerimages/Jitesh%20Sharma.png
30,30,31,Vijay Shankar,14,10,2,301,63,37.63,188,160.1,0,3,27,15,2023,GT,vijayshankar,https://scores.iplt20.com/ipl/playerimages/Vijay%20Shankar.png
31,31,32,Shimron Hetmyer,14,13,5,300,56,37.5,197,152.28,0,1,12,23,2023,RR,shimronhetmyer,https://scores.iplt20.com/ipl/playerimages/Shimron%20Hetmyer.png
32,32,33,Jason Roy,8,8,0,285,61,35.63,188,151.59,0,2,36,12,2023,KKR,jasonroy,https://scores.iplt20.com/ipl/playerimages/Jason%20Roy.png
33,33,34,Axar Patel,14,13,3,283,54,28.3,203,139.4,0,1,21,15,2023,DC,axarpatel,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
34,34,35,Liam Livingstone,9,9,1,279,94,34.88,171,163.15,0,2,20,19,2023,PBKS,liamlivingstone,https://scores.iplt20.com/ipl/playerimages/Liam%20Livingstone.png
35,35,36,Sam Curran,14,13,3,276,55,27.6,203,135.96,0,1,20,13,2023,PBKS,samcurran,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png
36,36,37,K L Rahul,9,9,1,274,74,34.25,242,113.22,0,2,28,4,2023,LSG,klrahul,https://scores.iplt20.com/ipl/playerimages/K%20L%20Rahul.png
37,37,38,Rahul Tripathi,13,13,1,273,74,22.75,213,128.16,0,1,29,10,2023,SRH,rahultripathi,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tripathi.png
38,38,39,Mayank Agarwal,10,10,0,270,83,27.0,210,128.57,0,1,29,6,2023,SRH,mayankagarwal,https://scores.iplt20.com/ipl/playerimages/Mayank%20Agarwal.png
39,39,40,Devdutt Padikkal,11,11,1,261,52,26.1,200,130.5,0,2,31,6,2023,RR,devduttpadikkal,https://scores.iplt20.com/ipl/playerimages/Devdutt%20Padikkal.png
40,40,41,David Miller,16,13,5,259,46,32.38,178,145.5,0,0,18,13,2023,GT,davidmiller,https://scores.iplt20.com/ipl/playerimages/David%20Miller.png
41,41,42,Aiden Markram,13,13,2,248,50,22.55,197,125.88,0,1,18,8,2023,SRH,aidenmarkram,https://scores.iplt20.com/ipl/playerimages/Aiden%20Markram.png
42,42,43,Nehal Wadera,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023,MI,nehalwadera,https://scores.iplt20.com/ipl/playerimages/Nehal%20Wadera.png
43,43,44,Ayush Badoni,15,12,2,238,59,23.8,172,138.37,0,1,13,12,2023,LSG,ayushbadoni,https://scores.iplt20.com/ipl/playerimages/Ayush%20Badoni.png
44,44,45,Tim David,16,15,6,231,45,25.67,146,158.21,0,0,12,15,2023,MI,timdavid,https://scores.iplt20.com/ipl/playerimages/Tim%20David.png
45,45,46,Andre Russell,14,14,3,227,42,20.64,156,145.51,0,0,13,18,2023,KKR,andrerussell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
46,46,47,Rahmanullah Gurbaz,11,11,0,227,81,20.64,170,133.52,0,2,17,15,2023,KKR,rahmanullahgurbaz,https://scores.iplt20.com/ipl/playerimages/Rahmanullah%20Gurbaz.png
47,47,48,Abhishek Sharma,11,11,0,226,67,20.55,157,143.94,0,2,28,6,2023,SRH,abhisheksharma,https://scores.iplt20.com/ipl/playerimages/Abhishek%20Sharma.png
48,48,49,Phil Salt,9,9,1,218,87,27.25,133,163.9,0,2,24,10,2023,DC,philsalt,https://scores.iplt20.com/ipl/playerimages/Phil%20Salt.png
49,49,50,Rilee Rossouw,9,9,2,209,82,29.86,141,148.22,0,1,17,11,2023,DC,rileerossouw,https://scores.iplt20.com/ipl/playerimages/Rilee%20Rossouw.png
50,50,51,Ravindra Jadeja,16,12,4,190,25,23.75,133,142.85,0,0,11,9,2023,CSK,ravindrajadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
51,51,52,Harry Brook,11,11,2,190,100,21.11,154,123.37,1,0,23,4,2023,SRH,harrybrook,https://scores.iplt20.com/ipl/playerimages/Harry%20Brook.png
52,52,53,Krunal Pandya,15,14,4,188,49,18.8,165,113.93,0,0,15,6,2023,LSG,krunalpandya,https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png
53,53,54,Atharva Taide,7,7,0,186,66,26.57,129,144.18,0,2,20,6,2023,PBKS,atharvataide,https://scores.iplt20.com/ipl/playerimages/Atharva%20Taide.png
54,54,55,Abdul Samad,9,8,4,169,37,42.25,128,132.03,0,0,10,11,2023,SRH,abdulsamad,https://scores.iplt20.com/ipl/playerimages/Abdul%20Samad.png
55,55,56,Manish Pandey,10,9,0,160,50,17.78,146,109.58,0,1,15,3,2023,DC,manishpandey,https://scores.iplt20.com/ipl/playerimages/Manish%20Pandey.png
56,56,57,Ambati Rayudu,16,12,2,158,27,15.8,113,139.82,0,0,10,9,2023,CSK,ambatirayudu,https://scores.iplt20.com/ipl/playerimages/Ambati%20Rayudu.png
57,57,58,Shahrukh Khan,14,13,6,156,41,22.29,94,165.95,0,0,13,9,2023,PBKS,shahrukhkhan,https://scores.iplt20.com/ipl/playerimages/Shahrukh%20Khan.png
58,58,59,Dhruv Jurel,13,11,4,152,34,21.71,88,172.72,0,0,11,9,2023,RR,dhruvjurel,https://scores.iplt20.com/ipl/playerimages/Dhruv%20Jurel.png
59,59,60,Quinton De Kock,4,4,0,143,70,35.75,102,140.19,0,1,10,8,2023,LSG,quintondekock,https://scores.iplt20.com/ipl/playerimages/Quinton%20De%20Kock.png
60,60,61,Dinesh Karthik,13,13,1,140,30,11.67,104,134.61,0,0,13,5,2023,RCB,dineshkarthik,https://scores.iplt20.com/ipl/playerimages/Dinesh%20Karthik.png
61,61,62,Sikandar Raza,7,7,2,139,57,27.8,98,141.83,0,1,10,6,2023,PBKS,sikandarraza,https://scores.iplt20.com/ipl/playerimages/Sikandar%20Raza.png
62,62,63,Mahipal Lomror,12,10,2,135,54,16.88,97,139.17,0,1,9,8,2023,RCB,mahipallomror,https://scores.iplt20.com/ipl/playerimages/Mahipal%20Lomror.png
63,63,64,Rashid Khan,17,9,5,130,79,32.5,60,216.66,0,1,8,13,2023,GT,rashidkhan,https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png
64,64,65,Mitchell Marsh,9,9,0,128,63,14.22,97,131.95,0,1,11,7,2023,DC,mitchellmarsh,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png
65,65,66,Moeen Ali,15,10,3,124,23,17.71,91,136.26,0,0,12,6,2023,CSK,moeenali,https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png
66,66,67,Matthew Short,6,6,0,117,36,19.5,92,127.17,0,0,15,4,2023,PBKS,matthewshort,https://scores.iplt20.com/ipl/playerimages/Matthew%20Short.png
67,67,68,Abhinav Manohar,9,6,0,114,42,19.0,83,137.34,0,0,6,7,2023,GT,abhinavmanohar,https://scores.iplt20.com/ipl/playerimages/Abhinav%20Manohar.png
68,68,69,Shardul Thakur,11,10,2,113,68,14.13,70,161.42,0,1,13,4,2023,KKR,shardulthakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
69,69,70,Aman Khan,11,9,1,110,51,13.75,101,108.91,0,1,7,6,2023,DC,amankhan,https://scores.iplt20.com/ipl/playerimages/Aman%20Khan.png
70,70,71,Prithvi Shaw,8,8,0,106,54,13.25,85,124.7,0,1,16,1,2023,DC,prithvishaw,https://scores.iplt20.com/ipl/playerimages/Prithvi%20Shaw.png
71,71,72,Anmolpreet Singh,4,4,0,105,36,26.25,82,128.04,0,0,15,2,2023,SRH,anmolpreetsingh,https://scores.iplt20.com/ipl/playerimages/Anmolpreet%20Singh.png
72,72,73,MS Dhoni,16,12,8,104,32,26.0,57,182.45,0,0,3,10,2023,CSK,msdhoni,https://scores.iplt20.com/ipl/playerimages/MS%20Dhoni.png
73,73,74,Prerak Mankad,5,5,2,93,64,31.0,72,129.16,0,1,12,2,2023,LSG,prerakmankad,https://scores.iplt20.com/ipl/playerimages/Prerak%20Mankad.png
74,74,75,Anuj Rawat,9,7,4,91,29,30.33,71,128.16,0,0,6,4,2023,RCB,anujrawat,https://scores.iplt20.com/ipl/playerimages/Anuj%20Rawat.png
75,75,76,Jagadeesan Narayan,6,6,0,89,36,14.83,81,109.87,0,0,14,1,2023,KKR,jagadeesannarayan,https://scores.iplt20.com/ipl/playerimages/Jagadeesan%20Narayan.png
76,76,77,Rahul Tewatia,17,10,6,87,20,21.75,57,152.63,0,0,3,7,2023,GT,rahultewatia,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tewatia.png
77,77,78,Deepak Hooda,12,12,1,84,17,7.64,90,93.33,0,0,3,2,2023,LSG,deepakhooda,https://scores.iplt20.com/ipl/playerimages/Deepak%20Hooda.png
78,78,79,Riyan Parag,7,7,1,78,20,13.0,66,118.18,0,0,4,5,2023,RR,riyanparag,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png
79,79,80,Harpreet Bhatia,3,3,0,77,41,25.67,59,130.5,0,0,8,3,2023,PBKS,harpreetbhatia,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Bhatia.png
80,80,81,Bhanuka Rajapaksa,4,4,1,71,50,23.67,62,114.51,0,1,6,2,2023,PBKS,bhanukarajapaksa,https://scores.iplt20.com/ipl/playerimages/Bhanuka%20Rajapaksa.png
81,81,82,Vivrant Sharma,3,1,0,69,69,69.0,47,146.8,0,1,9,2,2023,SRH,vivrantsharma,https://scores.iplt20.com/ipl/playerimages/Vivrant%20Sharma.png
82,82,83,Ravichandran Ashwin,13,10,4,67,30,11.17,51,131.37,0,0,5,3,2023,RR,ravichandranashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png
83,83,84,Lalit Yadav,6,6,1,66,38,13.2,59,111.86,0,0,8,0,2023,DC,lalityadav,https://scores.iplt20.com/ipl/playerimages/Lalit%20Yadav.png
84,84,85,Krishnappa Gowtham,7,7,3,61,23,15.25,37,164.86,0,0,2,5,2023,LSG,krishnappagowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa%20Gowtham.png
85,85,86,Washington Sundar,7,5,1,60,24,15.0,60,100.0,0,0,6,0,2023,SRH,washingtonsundar,https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png
86,86,87,Michael Bracewell,5,4,2,58,26,29.0,47,123.4,0,0,6,1,2023,RCB,michaelbracewell,https://scores.iplt20.com/ipl/playerimages/Michael%20Bracewell.png
87,87,88,Sarfaraz Khan,4,4,0,53,30,13.25,62,85.48,0,0,4,1,2023,DC,sarfarazkhan,https://scores.iplt20.com/ipl/playerimages/Sarfaraz%20Khan.png
88,88,89,Harpreet Brar,13,8,2,52,17,8.67,41,126.82,0,0,5,2,2023,PBKS,harpreetbrar,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Brar.png
89,89,90,Ripal Patel,5,4,1,49,23,16.33,43,113.95,0,0,3,1,2023,DC,ripalpatel,https://scores.iplt20.com/ipl/playerimages/Ripal%20Patel.png
90,90,91,Shahbaz Ahmed,10,6,2,42,20,10.5,39,107.69,0,0,3,1,2023,RCB,shahbazahmed,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png
91,91,92,Bhuvneshwar Kumar,14,6,3,42,27,14.0,47,89.36,0,0,4,0,2023,SRH,bhuvneshwarkumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
92,92,93,Glenn Phillips,5,5,0,39,25,7.8,22,177.27,0,0,2,4,2023,SRH,glennphillips,https://scores.iplt20.com/ipl/playerimages/Glenn%20Phillips.png
93,93,94,Marco Jansen,8,6,3,39,17,13.0,43,90.69,0,0,4,0,2023,SRH,marcojansen,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png
94,94,95,Anrich Nortje,10,7,4,37,23,12.33,29,127.58,0,0,6,0,2023,DC,anrichnortje,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png
95,95,96,Vishnu Vinod,3,3,0,37,30,12.33,31,119.35,0,0,2,2,2023,MI,vishnuvinod,https://scores.iplt20.com/ipl/playerimages/Vishnu%20Vinod.png
96,96,97,Suyash S Prabhudessai,5,4,0,35,19,8.75,29,120.68,0,0,1,2,2023,RCB,suyashsprabhudessai,https://scores.iplt20.com/ipl/playerimages/Suyash%20S%20Prabhudessai.png
97,97,98,David Willey,4,3,3,35,20,,32,109.37,0,0,4,0,2023,RCB,davidwilley,https://scores.iplt20.com/ipl/playerimages/David%20Willey.png
98,98,99,Wanindu Hasaranga,8,5,3,33,12,16.5,28,117.85,0,0,3,0,2023,RCB,waninduhasaranga,https://scores.iplt20.com/ipl/playerimages/Wanindu%20Hasaranga.png
99,99,100,Abishek Porel,4,4,0,33,20,8.25,31,106.45,0,0,1,2,2023,DC,abishekporel,https://scores.iplt20.com/ipl/playerimages/Abishek%20Porel.png
100,100,101,Kuldeep Yadav,14,10,8,31,10,15.5,48,64.58,0,0,2,0,2023,DC,kuldeepyadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Yadav.png
101,101,102,Dasun Shanaka,3,3,1,26,17,13.0,26,100.0,0,0,2,1,2023,GT,dasunshanaka,https://scores.iplt20.com/ipl/playerimages/Dasun%20Shanaka.png
102,102,103,Piyush Chawla,16,4,2,25,18,12.5,22,113.63,0,0,1,1,2023,MI,piyushchawla,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png
103,103,104,Tristan Stubbs,2,2,0,25,20,12.5,31,80.64,0,0,2,0,2023,MI,tristanstubbs,https://scores.iplt20.com/ipl/playerimages/Tristan%20Stubbs.png
104,104,105,Hrithik Shokeen,8,3,2,23,18,23.0,17,135.29,0,0,4,0,2023,MI,hrithikshokeen,https://scores.iplt20.com/ipl/playerimages/Hrithik%20Shokeen.png
105,105,106,Anukul Roy,4,4,2,23,13,11.5,19,121.05,0,0,3,0,2023,KKR,anukulroy,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png
106,106,107,Adil Rashid,2,2,0,22,18,11.0,16,137.5,0,0,2,1,2023,SRH,adilrashid,https://scores.iplt20.com/ipl/playerimages/Adil%20Rashid.png
107,107,108,Priyam Garg,2,2,0,22,12,11.0,23,95.65,0,0,1,0,2023,DC,priyamgarg,https://scores.iplt20.com/ipl/playerimages/Priyam%20Garg.png
108,108,109,David Wiese,3,3,2,21,12,21.0,11,190.9,0,0,0,3,2023,KKR,davidwiese,https://scores.iplt20.com/ipl/playerimages/David%20Wiese.png
109,109,110,Mayank Markande,10,3,3,21,18,,13,161.53,0,0,2,1,2023,SRH,mayankmarkande,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
110,110,111,Sunil Narine,14,10,3,21,7,3.0,25,84.0,0,0,2,1,2023,KKR,sunilnarine,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
111,111,112,Rishi Dhawan,6,3,1,20,19,10.0,12,166.66,0,0,1,1,2023,PBKS,rishidhawan,https://scores.iplt20.com/ipl/playerimages/Rishi%20Dhawan.png
112,112,113,Ravi Bishnoi,15,7,4,20,5,6.67,27,74.07,0,0,1,0,2023,LSG,ravibishnoi,https://scores.iplt20.com/ipl/playerimages/Ravi%20Bishnoi.png
113,113,114,Umran Malik,8,2,1,19,19,19.0,8,237.5,0,0,1,2,2023,SRH,umranmalik,https://scores.iplt20.com/ipl/playerimages/Umran%20Malik.png
114,114,115,Umesh Yadav,8,5,3,19,6,9.5,18,105.55,0,0,1,0,2023,KKR,umeshyadav,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png
115,115,116,Amit Mishra,7,1,0,19,19,19.0,30,63.33,0,0,2,0,2023,LSG,amitmishra,https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png
116,116,117,Arshad Khan,6,3,1,18,15,9.0,15,120.0,0,0,0,1,2023,MI,arshadkhan,https://scores.iplt20.com/ipl/playerimages/Arshad%20Khan.png
117,117,118,Akash Deep,2,1,0,17,17,17.0,8,212.5,0,0,2,1,2023,RCB,akashdeep,https://scores.iplt20.com/ipl/playerimages/Akash%20Deep.png
118,118,119,Akeal Hosein,1,1,1,16,16,,10,160.0,0,0,1,1,2023,SRH,akealhosein,https://scores.iplt20.com/ipl/playerimages/Akeal%20Hosein.png
119,119,120,Trent Boult,10,4,3,16,15,16.0,14,114.28,0,0,1,1,2023,RR,trentboult,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png
120,120,121,Praveen Dubey,1,1,0,16,16,16.0,20,80.0,0,0,2,0,2023,DC,praveendubey,https://scores.iplt20.com/ipl/playerimages/Praveen%20Dubey.png
121,121,122,Naveen-ul-Haq,8,3,2,16,13,16.0,21,76.19,0,0,2,0,2023,LSG,naveenulhaq,https://scores.iplt20.com/ipl/playerimages/Naveen-ul-Haq.png
122,122,123,Yash Dhull,4,3,0,16,13,5.33,23,69.56,0,0,1,0,2023,DC,yashdhull,https://scores.iplt20.com/ipl/playerimages/Yash%20Dhull.png
123,123,124,Ben Stokes,2,2,0,15,8,7.5,14,107.14,0,0,2,0,2023,CSK,benstokes,https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png
124,124,125,Mandeep Singh,3,3,0,14,12,4.67,16,87.5,0,0,0,1,2023,KKR,mandeepsingh,https://scores.iplt20.com/ipl/playerimages/Mandeep%20Singh.png
125,125,126,Arjun Tendulkar,4,1,0,13,13,13.0,9,144.44,0,0,0,1,2023,MI,arjuntendulkar,https://scores.iplt20.com/ipl/playerimages/Arjun%20Tendulkar.png
126,126,127,Vyshak Vijaykumar,7,2,1,13,13,13.0,9,144.44,0,0,0,1,2023,RCB,vyshakvijaykumar,https://scores.iplt20.com/ipl/playerimages/Vyshak%20Vijaykumar.png
127,127,128,Kedar Jadhav,2,1,1,12,12,,10,120.0,0,0,1,0,2023,RCB,kedarjadhav,https://scores.iplt20.com/ipl/playerimages/Kedar%20Jadhav.png
128,128,129,Jason Holder,8,3,1,12,11,6.0,11,109.09,0,0,0,1,2023,RR,jasonholder,https://scores.iplt20.com/ipl/playerimages/Jason%20Holder.png
129,129,130,Karan Sharma,2,2,0,12,9,6.0,21,57.14,0,0,0,0,2023,LSG,karansharma,https://scores.iplt20.com/ipl/playerimages/Karan%20Sharma.png
130,130,131,Mark Wood,4,2,1,11,10,11.0,5,220.0,0,0,1,1,2023,LSG,markwood,https://scores.iplt20.com/ipl/playerimages/Mark%20Wood.png
131,131,132,Sanvir Singh,2,2,1,11,7,11.0,9,122.22,0,0,1,1,2023,SRH,sanvirsingh,https://scores.iplt20.com/ipl/playerimages/Sanvir%20Singh.png
132,132,133,Manan Vohra,1,1,0,10,10,10.0,11,90.9,0,0,1,0,2023,LSG,mananvohra,https://scores.iplt20.com/ipl/playerimages/Manan%20Vohra.png
133,133,134,Joe Root,3,1,0,10,10,10.0,15,66.66,0,0,1,0,2023,RR,joeroot,https://scores.iplt20.com/ipl/playerimages/Joe%20Root.png
134,134,135,Adam Zampa,6,3,0,10,7,3.33,16,62.5,0,0,0,0,2023,RR,adamzampa,https://scores.iplt20.com/ipl/playerimages/Adam%20Zampa.png
135,135,136,Jaydev Unadkat,3,1,0,9,9,9.0,7,128.57,0,0,1,0,2023,LSG,jaydevunadkat,https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png
136,136,137,Noor Ahmad,13,3,1,8,7,4.0,9,88.88,0,0,1,0,2023,GT,noorahmad,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png
137,137,138,Mukesh Kumar,10,3,3,7,6,,9,77.77,0,0,0,0,2023,DC,mukeshkumar,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Kumar.png
138,138,139,Rovman Powell,3,3,0,7,4,2.33,9,77.77,0,0,1,0,2023,DC,rovmanpowell,https://scores.iplt20.com/ipl/playerimages/Rovman%20Powell.png
139,139,140,Alzarri Joseph,7,2,2,7,7,,12,58.33,0,0,1,0,2023,GT,alzarrijoseph,https://scores.iplt20.com/ipl/playerimages/Alzarri%20Joseph.png
140,140,141,Harshal Patel,13,2,0,6,6,3.0,6,100.0,0,0,0,1,2023,RCB,harshalpatel,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png
141,141,142,Kumar Kartikeya Singh,8,1,0,6,6,6.0,7,85.71,0,0,1,0,2023,MI,kumarkartikeyasingh,https://scores.iplt20.com/ipl/playerimages/Kumar%20Kartikeya%20Singh.png
142,142,143,Jason Behrendorff,12,2,2,6,3,,9,66.66,0,0,0,0,2023,MI,jasonbehrendorff,https://scores.iplt20.com/ipl/playerimages/Jason%20Behrendorff.png
143,143,144,Chris Jordan,6,2,0,6,4,3.0,12,50.0,0,0,0,0,2023,MI,chrisjordan,https://scores.iplt20.com/ipl/playerimages/Chris%20Jordan.png
144,144,145,Mohammad Shami,17,2,0,5,5,2.5,6,83.33,0,0,1,0,2023,GT,mohammadshami,https://scores.iplt20.com/ipl/playerimages/Mohammad%20Shami.png
145,145,146,Liton Das,1,1,0,4,4,4.0,4,100.0,0,0,1,0,2023,KKR,litondas,https://scores.iplt20.com/ipl/playerimages/Liton%20Das.png
146,146,147,Jofra Archer,5,2,2,4,3,,4,100.0,0,0,0,0,2023,MI,jofraarcher,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
147,147,148,Chetan Sakariya,2,2,1,4,4,4.0,6,66.66,0,0,1,0,2023,DC,chetansakariya,https://scores.iplt20.com/ipl/playerimages/Chetan%20Sakariya.png
148,148,149,Vaibhav Arora,5,2,2,3,2,,2,150.0,0,0,0,0,2023,KKR,vaibhavarora,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Arora.png
149,149,150,Karn Sharma,7,2,0,3,2,1.5,5,60.0,0,0,0,0,2023,RCB,karnsharma,https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png
150,150,151,Arshdeep Singh,14,2,2,2,2,,2,100.0,0,0,0,0,2023,PBKS,arshdeepsingh,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png
151,151,152,Mitchell Santner,3,2,2,2,1,,4,50.0,0,0,0,0,2023,CSK,mitchellsantner,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png
